a	а
dialog	діалог
dialogic	діалогічний
dialogs	діалоги
dialogue	діалог
dialogues	діалоги
dials	циферблати
dialysis	діаліз
diameter	діаметр
diameters	діаметрів
diametral	діаметральний
diametric	діаметральна
diametrical	діаметральний
diametrically	діаметрально
diamond	алмаз
diamonds	алмази
diapason	діапазон
diaper	пелюшки
diapered	конусний
diapering	підгузник
diapers	памперси
diaphanous	двоякий
diaphragm	діафрагма
diaphragms	діафрагми
diarchy	діархія
diaries	щоденники
diarist	діаріст
diarrhea	діарея
diarrhoea	діарея
diarrhoeas	діареї
diary	щоденник
diaspora	діаспора
diastole	діастола
diatomic	діатомічний
diatonic	діатонічний
diatribe	діатриб
diatribes	діатриби
dibasic	двоосновна
dibble	дибувати
dibs	спринцювання
dice	кубики
dices	кубики
dicey	зубний
dichotomies	дихотомії
dichotomous	дихотомічний
dichotomy	дихотомія
dicing	дікінг
dick	хуй
dickens	Діккенс
dicker	зухвалий
dickers	дикери
dickey	дікі
dickhead	глухар
dicks	курці
dicky	похмурий
dicotyledon	дводольний
dicta	дикта
dictate	диктувати
dictated	продиктовано
dictates	диктує
dictating	диктуючи
dictation	диктант
dictations	диктанти
dictator	диктатор
dictatorial	диктаторський
dictators	диктаторів
dictatorship	диктатура
